Respondent_ID,Age_Group,Gender,Race,Employment,County,ZIP,Sentiment_Score,Confidence_Level,Engagement_Level,Voting_Consistency,Key_Issues,AI_Insight,Recommended_Contact_Strategy,Priority_Level
114481890968,18-24,Male,Black/African-American,Student,Cobb,30008,1,0.8,High,Excellent,"Social Issues, Economy, Education",Highly engaged young voter with positive civic outlook,Mobilization - encourage continued engagement,High
114458647417,35-44,Male,Black/African-American,Full-time,Cobb,30008,1,0.9,High,Excellent,"Education parity, economic opportunities, affordable housing",Mission-driven voter with strong community focus,Mobilization - leverage family motivation,High
114441206267,65+,Male,Black/African-American,Retired,Cobb,30008,0,0.7,High,Excellent,"Public transportation, housing, violent acts",Experienced voter with practical concerns,Information - address specific concerns,Medium
114434392845,65+,Female,Black/African-American,Retired,Georgia,30034,2,0.9,Very High,Excellent,"Voting rights, civil rights, Medicaid expansion",Highly motivated activist with democracy focus,Mobilization - volunteer recruitment,Very High
114454948025,18-24,Female,Asian,Student,Gwinnett,30047,0,0.6,High,Good,"Civic literacy, affordable housing, education",Young engaged voter developing civic awareness,Education - provide civic information,Medium
114449662978,25-34,Female,Asian,Full-time,Gwinnett,30047,-1,0.8,Low,Excellent,"Gun control, abortion laws, police brutality",Concerned voter with selective engagement,Persuasion - address specific concerns,High
114436462706,18-24,Female,Black/African-American,Student,United States,30047,1,0.7,High,Good,"Food insecurity, education, transportation",Committed young voter overcoming barriers,Support - address accessibility barriers,High
114457767925,45-54,Female,Black/African-American,Full-time,Cobb,30060,0,0.5,Low,Excellent,Taxes,Practical voter focused on immediate concerns,Information - tax policy impacts,Low
114438918264,25-34,Female,White,Full-time,Cobb,30060,1,0.8,Medium,Excellent,"Reproductive healthcare, wealth inequality, healthcare",Issue-focused voter with clear priorities,Mobilization - issue-based messaging,High
114434421891,55-64,Prefer not to answer,Prefer not to answer,Full-time,Cobb,30060,0,0.6,Medium,Good,"Taxes, safety, government transparency",Principled voter valuing transparency,Information - government accountability,Medium
114434388206,55-64,Female,Prefer not to answer,Full-time,Cobb,30060,-1,0.7,High,Excellent,"Safety, Freedom, Economy",Politically frustrated but highly engaged,Persuasion - address political concerns,Medium
114433585429,25-34,Male,Hispanic/White,Full-time,Cobb,30060,0,0.7,Medium,Excellent,"Public safety, transportation, transparency",Pragmatic voter valuing genuine engagement,Information - demonstrate listening,Medium
114482482190,45-54,Prefer not to answer,Prefer not to answer,Full-time,Cobb,30062,-1,0.8,High,Excellent,"Taxes, mental health, government spending",Fiscally conservative with spending concerns,Persuasion - fiscal responsibility focus,Medium
114463726089,55-64,Female,White,Full-time,Cobb,30062,1,0.8,Medium,Excellent,"School board dysfunction, community development",Education advocate with positive engagement,Mobilization - education reform focus,High
114438286822,65+,Female,White,Retired,Cobb,30062,-1,0.8,Medium,Excellent,"Crime, property values, neighborhood quality",Community-focused with neighborhood concerns,Persuasion - community safety focus,Medium
114437224193,55-64,Female,White,Full-time,Cobb,30062,0,0.6,Medium,Excellent,"Income disparities, housing, book bans",Concerned about equity issues,Information - policy solutions,Medium
114435527153,65+,Female,White,Retired,Cobb,30062,0,0.5,Low,Excellent,"Affordable housing, traffic, healthcare",Selective engagement based on importance,Information - issue relevance,Low
114434489682,45-54,Female,White,Full-time,Cobb,30062,0,0.6,Medium,Excellent,"School board, transportation, zoning",Time-constrained but consistent voter,Information - efficient communication,Medium
114434465565,55-64,Female,White,Retired,Cobb,30062,0,0.7,High,Excellent,County commissioner overreach,Concerned about government overreach,Information - local government limits,Medium
114434465486,65+,Male,White,Retired,Cobb,30062,-1,0.7,Low,Excellent,"Redistricting, far-right conservatism, politics",Concerned about political extremism,Persuasion - moderate messaging,Medium
114432771387,55-64,Female,White,Full-time,Cobb,30062,-1,0.8,Medium,Excellent,"Democracy risk, white supremacy, terrorism",Concerned about democratic threats,Mobilization - democracy protection,High
114432141350,65+,Female,Black/African-American,Retired,Cobb,30062,1,0.8,Medium,Excellent,"Education, healthcare, housing",Quality-focused with positive engagement,Mobilization - quality of life issues,High
114431705382,35-44,Female,Hispanic/White,Part-time,United States,30062,0,0.6,Medium,Good,"Wealth inequality, democracy abuse, misinformation",Concerned about democratic institutions,Information - fact-based messaging,Medium
114431703958,35-44,Male,White,Full-time,Cobb,30062,0,0.5,Medium,Excellent,"Housing costs, income inequality, healthcare",Practical concerns with impact focus,Information - policy impact demonstration,Medium
114431380440,45-54,Female,White,Unemployed,Cobb,30062,0,0.6,High,Good,"Inflation, growth, education",Time-constrained but engaged,Information - efficient updates,Medium
114423199097,65+,Female,White,Part-time,Cobb,30062,1,0.7,High,Excellent,"Education equity, food security, healthcare",Equity-focused with positive engagement,Mobilization - equity issues,High
114423171373,45-54,Female,White,Full-time,Cobb,30062,0,0.5,Low,Excellent,Education and governance equity,Knowledge-seeking voter,Education - provide information,Low
