,,,,,,,,,Response,Response,Response,Response,Please list all that apply.,Response,Response,Open-Ended Response,Open-Ended Response,Response,Response,Response,Response,Open-Ended Response,Response,Response,Response,Response,Response,Response,Response,Open-Ended Response,Response,Response,Response,Response,Response,Response,Response,Response,Response
Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,What is your age?,What is your gender?,"Are you of Hispanic, Latino, or Spanish origin?",Which of the following best describes your race?,,Which of the following best describes your employment status? Select one.,What is your highest level of education completed? Select one.,In which county do you currently live?,What is the ZIP code of your primary residence?,Are you currently a member of any civic organizations?,Are you aware of any civic education courses that are available to your community?,Do you volunteer with any community activities?,How often do you engage in activities related to public policy or community advocacy?,What factors influence your decision to participate or not participate in public policy discussions or activities?,Are you a registered voter?,Do you know how to check your voter registration status?,Did you vote in the last primary election?,Did you vote in the 2020 Presidential election?,Did you vote in the 2022 Mid-term election?,Do you plan to vote in the March 2024 primary election?,Which level of governance do you consider to be the most significant when it comes to addressing the needs and concerns within your community?,"In your opinion, what are the top three most pressing issues facing your community?",Are you familiar with any existing local or state policies addressing the issues you defined as most pressing in the previous questions?,"For the issues you've identified, do you believe that there are current policies effectively addressing your concerns?","Do you believe that community members, like yourself, have adequate representation in the policy-making process?","Do you know who your local elected officials are (city, county, state)?",How often do you interact with your local officials?,How often do your local elected officials communicate with you?,Do your local elected officials effectively engage your community in the political process?,Elected officials are held accountable for their decisions and policies.,Do you attend city or county board meetings?
114481890968,427833415,2023-12-06 09:38:19,2023-12-06 09:40:34,104.28.32.199,,,,,18-24,Male,No,Black or African-American,,Student,Bachelor’s (4-year) degree,Cobb,30008,No,Yes,Yes,Sometimes,N/A,Yes,Yes,Yes,Yes,Yes,Yes,State,Social Issues Economy Education,Yes,Yes,Yes,I can name all of them,Rarely,Rarely,Often,Often,Often
114458647417,427833415,2023-11-08 16:26:46,2023-11-08 16:30:46,73.54.174.8,,,,,35-44,Male,No,Black or African-American,,Employed full-time,Master’s degree,Cobb,30008,Yes,Yes,Yes,Often,My desire to do what I can to ensure conditions are improved for my children and people who look like me.,Yes,Yes,Yes,Yes,Yes,Yes,State,"Education parity, economic opportunities, affordable housing",Yes,No,No,I can name all of them,Sometimes,Rarely,Rarely,Rarely,Sometimes
114441206267,427833415,2023-10-19 11:53:15,2023-10-19 12:00:03,99.170.164.169,,,,,65+,Male,No,Black or African-American,,Retired,Associate (2-year) degree,Cobb,30008,Yes,No,Yes,Often,is it for the good of the people,Yes,Yes,Yes,Yes,Yes,Yes,Local,"public transportation, housing and violent act",No,No,No,I can name all of them,Sometimes,Rarely,Rarely,Sometimes,Often
114434392845,427833415,2023-10-11 12:57:36,2023-10-11 13:02:58,223.165.17.165,,,,,65+,Female,No,Black or African-American,,Retired,Doctorate degree,Georgia,30034,Yes,Yes,Yes,Often,Saving our democracy,Yes,Yes,Yes,Yes,Yes,Yes,State,"Voting rights-Getting rid of SB202- Law based on lies  Passing Rights for all Americans-immigration, LGBTQ  Passing Medicaid Expansion",Yes,Yes,No,I can name all of them,Often,Often,Often,Sometimes,Often
114454948025,427833415,2023-11-04 19:19:08,2023-11-04 19:22:24,71.56.78.254,,,,,18-24,Female,No,Asian,,Student,"Some college, no degree",Gwinnett,30047,Yes,No,Yes,Often,Desired Career Field - Desired Education - Enjoy different perspectives,Yes,Yes,Yes,No,Yes,Yes,Local,Lack of civic literacy Affordable Housing Unfair Board of Education,No,No,No,I can name some of them,Rarely,Never,Never,Rarely,Sometimes
114449662978,427833415,2023-10-30 12:25:19,2023-10-30 12:29:28,159.235.103.252,,,,,25-34,Female,No,Asian,,Employed full-time,Bachelor’s (4-year) degree,Gwinnett,30047,No,No,No,Rarely,If it’s something that I find extremely important,Yes,Yes,Yes,Yes,Yes,Yes,State,- gun control   - abortion laws   - police brutality ,Yes,No,No,I only know 1 or 2,Never,Rarely,Don't Know,Don't Know,Never
114436462706,427833415,2023-10-13 15:44:44,2023-10-13 17:12:56,170.140.105.16,,,,,18-24,Female,No,Black or African-American,,Student,"Some college, no degree",United States,30047,No,No,Yes,Often,Accessibility & time,Yes,Yes,Yes,No,Yes,Yes,State,"Food insecurity, education, and transportation",Yes,Yes,Yes,I only know 1 or 2,Rarely,Never,Sometimes,Sometimes,Rarely
114436404744,427833415,2023-10-13 15:44:44,2023-10-13 15:47:26,170.140.105.16,,,,,18-24,Female,No,Black or African-American,,Student,"Some college, no degree",United States,30047,No,No,Yes,Often,Accessibility & time,Yes,Yes,Yes,No,Yes,Yes,State,"Food insecurity, education, and transportation",Yes,Yes,Yes,I only know 1 or 2,Rarely,Never,Sometimes,Sometimes,Rarely
114457767925,427833415,2023-11-07 20:43:53,2023-11-07 20:46:20,75.31.92.172,,,,,45-54,Female,No,Black or African-American,,Employed full-time,Bachelor’s (4-year) degree,Cobb,30060,No,No,Yes,Sometimes,Busy with kids,Yes,Yes,Yes,Yes,Yes,Yes,Local,Taxes,Yes,No,Yes,I don't know any of them,Never,Don't Know,Never,Never,Never
114438918264,427833415,2023-10-17 10:14:18,2023-10-17 10:18:18,50.251.189.193,,,,,25-34,Female,No,White,,Employed full-time,Bachelor’s (4-year) degree,Cobb,30060,No,Yes,No,Sometimes,Lack of time and energy.,Yes,Yes,Yes,Yes,Yes,Yes,State,Safe and legal access to abortion and other reproductive healthcare. Wealth inequality. Access to free quality healthcare.,Yes,No,No,I can name some of them,Rarely,Rarely,Sometimes,Sometimes,Never
